timestamp,packet_size,connection_duration,src_ip,dst_ip,label,packet_inter_arrival_time,packet_duration_ratio,syn_packet_frequency
2024-11-04 21:20:24.565665,549.6714153011233,1.6607526347563892,192.168.1.32,10.0.0.135,0,0.0,330.977295352449,0.0
2024-11-04 21:20:25.565665,486.1735698828815,1.8472502684731733,192.168.1.81,10.0.0.116,0,1.0,263.1877110429241,0.0
2024-11-04 21:20:26.565665,564.7688538100692,1.701309469477429,192.168.1.18,10.0.0.92,0,1.0,331.9612709753168,0.0
2024-11-04 21:20:27.565665,652.3029856408025,2.05520902347306,192.168.1.249,10.0.0.229,0,1.0,317.3900942389245,0.0
2024-11-04 21:20:28.565665,476.5846625276664,2.5985892657309564,192.168.1.196,10.0.0.247,0,1.0,183.40130501293672,0.0
2024-11-04 21:20:29.565665,476.586304305082,1.6144789214293978,192.168.1.35,10.0.0.244,0,1.0,295.1951233176403,0.0
2024-11-04 21:20:30.565665,657.9212815507392,2.500410248884207,192.168.1.104,10.0.0.197,0,1.0,263.1253338704449,0.0
2024-11-04 21:20:31.565665,576.7434729152909,1.6091639638265562,192.168.1.100,10.0.0.39,0,1.0,358.4118746630441,0.0
2024-11-04 21:20:32.565665,453.0525614065048,1.576186393751558,192.168.1.23,10.0.0.32,0,1.0,287.43590428297784,0.0
2024-11-04 21:20:33.565665,554.2560043585964,2.4092973091716066,192.168.1.207,10.0.0.177,0,1.0,230.0488205621943,0.0
2024-11-04 21:20:34.565665,453.65823071875377,2.4609681890038084,192.168.1.141,10.0.0.159,0,1.0,184.3413631861666,0.0
2024-11-04 21:20:35.565665,453.4270246429743,2.425704968381327,192.168.1.206,10.0.0.108,0,1.0,186.92587538605164,0.0
2024-11-04 21:20:36.565665,524.1962271566034,1.3421012958909295,192.168.1.254,10.0.0.79,0,1.0,390.578735570496,0.0
2024-11-04 21:20:37.565665,308.6719755342202,1.7670245109639746,192.168.1.142,10.0.0.3,0,1.0,174.68460319536186,0.0
