timestamp,packet_size,connection_duration,src_ip,dst_ip,label
2024-11-04 21:20:24.565665,549.6714153011233,1.6607526347563892,192.168.1.32,10.0.0.135,0
2024-11-04 21:20:25.565665,486.1735698828815,1.8472502684731735,192.168.1.81,10.0.0.116,0
2024-11-04 21:20:26.565665,564.7688538100692,1.7013094694774287,192.168.1.18,10.0.0.92,0
2024-11-04 21:20:27.565665,652.3029856408025,2.0552090234730596,192.168.1.249,10.0.0.229,0
2024-11-04 21:20:28.565665,476.5846625276664,2.5985892657309564,192.168.1.196,10.0.0.247,0
2024-11-04 21:20:29.565665,476.58630430508197,1.6144789214293978,192.168.1.35,10.0.0.244,0
2024-11-04 21:20:30.565665,657.9212815507392,2.500410248884207,192.168.1.104,10.0.0.197,0
2024-11-04 21:20:31.565665,576.7434729152909,1.6091639638265562,192.168.1.100,10.0.0.39,0
2024-11-04 21:20:32.565665,453.05256140650476,1.576186393751558,192.168.1.23,10.0.0.32,0
2024-11-04 21:20:33.565665,554.2560043585964,2.4092973091716066,192.168.1.207,10.0.0.177,0
2024-11-04 21:20:34.565665,453.65823071875377,2.4609681890038084,192.168.1.141,10.0.0.159,0
2024-11-04 21:20:35.565665,453.4270246429743,2.425704968381327,192.168.1.206,10.0.0.108,0
2024-11-04 21:20:36.565665,524.1962271566034,1.3421012958909295,192.168.1.254,10.0.0.79,0
2024-11-04 21:20:37.565665,308.6719755342202,1.7670245109639746,192.168.1.142,10.0.0.3,0
2024-11-04 21:20:38.565665,327.5082167486967,2.4114942960016608,192.168.1.165,10.0.0.241,0
2024-11-04 21:20:39.565665,443.77124707590275,2.0207709202819473,192.168.1.5,10.0.0.110,0
2024-11-04 21:20:40.565665,398.71688796655764,1.4631535769012678,192.168.1.251,10.0.0.175,0
2024-11-04 21:20:41.565665,531.4247332595273,2.2291589695627207,192.168.1.150,10.0.0.111,0
2024-11-04 21:20:42.565665,409.1975924478789,1.6425963705042648,192.168.1.28,10.0.0.15,0
2024-11-04 21:20:43.565665,358.76962986647084,2.8972624241961062,192.168.1.237,10.0.0.51,0
2024-11-04 21:20:44.565665,646.5648768921554,2.772420731209129,192.168.1.132,10.0.0.107,0
2024-11-04 21:20:45.565665,477.4223699513464,2.3020487131777836,192.168.1.50,10.0.0.210,0
